step,safety,procedure,terminology,reward_scalar,parse_success
0,0.2465447222786244,0.2465447222786244,0.2465447222786244,0.2465447222786244,0.05859375
1,0.253781864136427,0.253781864136427,0.253781864136427,0.253781864136427,0.01953125
2,0.2590594447455211,0.2590594447455211,0.2590594447455211,0.2590594447455211,0.0
3,0.25452785537927514,0.25452785537927514,0.25452785537927514,0.25452785537927514,0.0
4,0.261165058013929,0.261165058013929,0.261165058013929,0.261165058013929,0.0
5,0.2635981288000131,0.2635981288000131,0.2635981288000131,0.2635981288000131,0.03125
6,0.24752858388823187,0.24752858388823187,0.24752858388823187,0.24752858388823187,0.02734375
7,0.2747576693027261,0.2747576693027261,0.2747576693027261,0.27475766930272616,0.0
8,0.274140004637412,0.274140004637412,0.274140004637412,0.274140004637412,0.05859375
9,0.2590667298278404,0.2590667298278404,0.2590667298278404,0.2590667298278404,0.109375
10,0.275701400806261,0.275701400806261,0.275701400806261,0.27570140080626104,0.05078125
11,0.29250561458799895,0.29250561458799895,0.29250561458799895,0.29250561458799895,0.1015625
12,0.27416131549014416,0.27416131549014416,0.27416131549014416,0.27416131549014416,0.26953125
13,0.27753111638360284,0.27753111638360284,0.27753111638360284,0.27753111638360284,0.33984375
14,0.30009497860304696,0.30009497860304696,0.30009497860304696,0.30009497860304696,0.33203125
15,0.2943116982932227,0.2943116982932227,0.2943116982932227,0.2943116982932227,0.6171875
16,0.31157657650405646,0.31157657650405646,0.31157657650405646,0.31157657650405646,0.61328125
17,0.316361623623001,0.316361623623001,0.316361623623001,0.316361623623001,0.875
18,0.3316616442670492,0.3316616442670492,0.3316616442670492,0.3316616442670492,0.9375
19,0.3486583075767614,0.3486583075767614,0.3486583075767614,0.3486583075767614,0.9765625
20,0.340292129039388,0.340292129039388,0.340292129039388,0.340292129039388,0.9453125
21,0.32224383175656657,0.32224383175656657,0.32224383175656657,0.32224383175656657,1.0
22,0.3102639532030229,0.3102639532030229,0.3102639532030229,0.3102639532030229,1.0
